procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 121835984   4188 319116    0    0   202     4  121  112  1  1 98  0  0 2025-12-29 18:28:56
 2  0      0 121822960   4188 321864    0    0  1376    23 1707 1114  1  0 99  0  0 2025-12-29 18:28:57
 1  0      0 121821632   4188 321884    0    0     0     4  825  572  0  0 100  0  0 2025-12-29 18:28:58
 0  0      0 121821392   4188 321884    0    0     0     0  770  525  0  0 100  0  0 2025-12-29 18:28:59
 0  0      0 121821584   4188 321892    0    0     0     0  681  436  0  0 100  0  0 2025-12-29 18:29:00
 3  0      0 121820832   4188 321892    0    0     0     0 1424 1052  0  0 99  0  0 2025-12-29 18:29:01
 0  0      0 121816048   4188 321984    0    0    48     0 2703 2016  1  1 98  0  0 2025-12-29 18:29:02
 0  0      0 121816768   4188 322024    0    0    52    10 1378  850  0  0 99  0  0 2025-12-29 18:29:03
 0  0      0 121817200   4188 321964    0    0     0     0  791  528  0  0 100  0  0 2025-12-29 18:29:04
 0  0      0 121866256   4188 321968    0    0     0     0 2690 3636  5  0 95  0  0 2025-12-29 18:29:05
 0  0      0 121854512   4188 321972    0    0     0     0 1643  966  1  0 98  0  0 2025-12-29 18:29:06
 1  0      0 121852936   4188 321992    0    0     0     0 1134  702  0  0 99  0  0 2025-12-29 18:29:07
 1  0      0 121853344   4188 322004    0    0     0     0 1326  681  0  0 100  0  0 2025-12-29 18:29:08
 0  0      0 121850624   4188 322008    0    0     0     0 1143  779  0  0 99  0  0 2025-12-29 18:29:09
 0  0      0 121846832   4188 322012    0    0     0     0 2117 1589  1  1 99  0  0 2025-12-29 18:29:10
 0  1      0 121558288   4188 534972    0    0 210504     0 8338 11789  4  2 92  3  0 2025-12-29 18:29:11
 0  0      0 121473048   4188 567300    0    0 32180    17 3416 2443  7  1 92  0  0 2025-12-29 18:29:12
 2  0      0 121495824   4188 607092    0    0    40   578 26081 9269  6  2 93  0  0 2025-12-29 18:29:13
 1  0      0 121446544   4188 663308    0    0     9 91112 30266 7660  6  3 91  0  0 2025-12-29 18:29:14
 1  0      0 121424448   4188 678788    0    0  7756 14499 10295 5782  6  2 92  0  0 2025-12-29 18:29:15
 1  0      0 121378256   4188 723452    0    0  1064     0 2501 1020  8  1 91  0  0 2025-12-29 18:29:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 121255064   4188 805404    0    0 32333   711 4776 6656  5  2 92  1  0 2025-12-29 18:29:17
 1  0      0 121267616   4188 808664    0    0  4271 113853 4115 6998  6  2 92  0  0 2025-12-29 18:29:18
 1  0      0 121256160   4188 818936    0    0    17 12200 2352 1324  6  3 91  0  0 2025-12-29 18:29:19
 1  0      0 121254752   4188 819164    0    0    16     8 2371 1354  9  0 91  0  0 2025-12-29 18:29:20
 1  0      0 121095160   4188 819164    0    0     0     0 2608 1242  9  1 91  0  0 2025-12-29 18:29:21
 1  0      0 121064160   4188 819176    0    0     0     0 2426 1088  9  0 91  0  0 2025-12-29 18:29:22
 1  0      0 121058536   4188 819180    0    0     0     0 2763 1172 10  0 89  0  0 2025-12-29 18:29:23
 1  0      0 121054552   4188 819148    0    0     0     0 2068  670  8  0 91  0  0 2025-12-29 18:29:24
 1  0      0 121054640   4188 819156    0    0     0     0 1904  679  8  0 91  0  0 2025-12-29 18:29:25
 2  0      0 121053312   4188 819156    0    0     0     0 1975  774  9  0 91  0  0 2025-12-29 18:29:26
 1  0      0 121050960   4188 819160    0    0     0  8588 2759 1576 10  0 90  0  0 2025-12-29 18:29:27
 1  0      0 121050320   4188 819168    0    0     0     0 1773  597  9  0 91  0  0 2025-12-29 18:29:28
 1  0      0 121051040   4188 818416    0    0     0     0 2023  809  9  0 91  0  0 2025-12-29 18:29:29
 1  0      0 121050736   4188 818320    0    0     0     0 1814  636  8  0 91  0  0 2025-12-29 18:29:30
 2  0      0 121046416   4188 818328    0    0     0     0 2355  956  9  0 91  0  0 2025-12-29 18:29:31
 1  0      0 121047088   4188 818336    0    0     0     0 1981  733  8  0 91  0  0 2025-12-29 18:29:32
 1  0      0 121046008   4188 818344    0    0     0     0 2041  724  9  0 91  0  0 2025-12-29 18:29:33
 1  0      0 121046128   4188 818352    0    0     0     0 1910  647  9  0 91  0  0 2025-12-29 18:29:34
 1  0      0 121046144   4188 818352    0    0     0     0 1762  613  8  0 91  0  0 2025-12-29 18:29:35
 1  0      0 121045392   4188 818356    0    0     0     0 2267 1088  9  0 91  0  0 2025-12-29 18:29:36
 2  0      0 121024080   4188 818364    0    0     0     0 2493 1031  9  0 90  0  0 2025-12-29 18:29:37
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 121018312   4188 818336    0    0     0     0 3689 3514 12  0 88  0  0 2025-12-29 18:29:38
 2  0      0 121013712   4188 818340    0    0     0     0 1754  590  8  0 91  0  0 2025-12-29 18:29:39
 2  0      0 121016664   4188 829252    0    0   829 21176 2303 2071  8  1 91  0  0 2025-12-29 18:29:40
 2  0      0 121205472   4188 839820    0    0   921 27963 4670 5953  8  1 91  0  0 2025-12-29 18:29:41
 2  0      0 121154880   4188 888704    0    0     0     0 4050 4272  9  1 91  0  0 2025-12-29 18:29:42
 2  0      0 121092840   4188 942544    0    0   120   236 3238 2829  9  1 90  0  0 2025-12-29 18:29:43
 3  0      0 121035848   4188 999588    0    0     4    60 2931 2513  8  0 91  0  0 2025-12-29 18:29:44
 2  0      0 120987736   4188 1046428    0    0  2100  3263 4840 6084  8  1 91  0  0 2025-12-29 18:29:45
 2  0      0 120931632   4188 1102716    0    0     0     0 4483 4899  9  1 91  0  0 2025-12-29 18:29:46
 4  0      0 120998672   4188 1146392    0    0  6808  1847 10549 12642  9  4 87  0  0 2025-12-29 18:29:47
 1  0      0 121005440   4188 1147336    0    0  1212  2455 7411 7580  1  3 96  0  0 2025-12-29 18:29:48
 1  0      0 121005488   4188 1147336    0    0     0     0  995  744  0  0 100  0  0 2025-12-29 18:29:49
 1  0      0 121005664   4188 1147340    0    0     0     0  726  614  0  0 100  0  0 2025-12-29 18:29:50
 2  0      0 120998048   4188 1147344    0    0     0     0 1399 1268  1  0 99  0  0 2025-12-29 18:29:51
 1  0      0 121003424   4188 1147344    0    0     0     0 2899 2210  1  0 99  0  0 2025-12-29 18:29:52
 1  0      0 120979696   4188 1148796    0    0  1448     0 6890 8395  3  1 96  0  0 2025-12-29 18:29:53
 1  0      0 120975256   4188 1148808    0    0     8     0 4216 4601  1  0 98  0  0 2025-12-29 18:29:54
 1  0      0 120968592   4188 1148808    0    0     0     0 3806 3725  1  0 98  0  0 2025-12-29 18:29:55
 1  0      0 120971152   4188 1148812    0    0     0     0 4200 5744  5  1 95  0  0 2025-12-29 18:29:56
 3  0      0 120965712   4188 1148820    0    0     0  6262 4817 5098  2  1 97  0  0 2025-12-29 18:29:57
 1  0      0 120970704   4188 1148208    0    0     0 16680 1634 1359  0  0 99  0  0 2025-12-29 18:29:58
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 120970160   4188 1148208    0    0     0     0 1054  705  0  0 100  0  0 2025-12-29 18:29:59
 1  0      0 120968144   4188 1148208    0    0     0     0 1020  851  0  0 100  0  0 2025-12-29 18:30:00
 2  0      0 120971584   4188 1148284    0    0    12     0 2986 1912  1  1 98  0  0 2025-12-29 18:30:01
 1  0      0 120972080   4188 1148284    0    0     0     0 1860 1394  0  0 99  0  0 2025-12-29 18:30:02
 0  0      0 120972344   4188 1148304    0    0     0     0 1333  919  0  0 99  0  0 2025-12-29 18:30:03
 0  0      0 120971536   4188 1148308    0    0     0     0  660  590  0  0 100  0  0 2025-12-29 18:30:04
 0  0      0 120971640   4188 1148308    0    0     0     0  671  562  0  0 100  0  0 2025-12-29 18:30:05
 0  0      0 120971672   4188 1148312    0    0     0     0  669  570  0  0 100  0  0 2025-12-29 18:30:06
 0  0      0 120971824   4188 1148324    0    0     0     0 1441 1051  0  0 100  0  0 2025-12-29 18:30:07
 0  0      0 120971384   4188 1148344    0    0     0     0  925  647  0  0 100  0  0 2025-12-29 18:30:08
 0  0      0 120971264   4188 1148344    0    0     0     0  735  586  0  0 100  0  0 2025-12-29 18:30:09
 0  0      0 120971440   4188 1148352    0    0     0     0  797  623  0  0 100  0  0 2025-12-29 18:30:10
 0  0      0 120971872   4188 1148352    0    0     0 51764 1319  825  0  0 99  0  0 2025-12-29 18:30:11
 0  0      0 120972080   4188 1148356    0    0     0     0 1286  983  0  0 100  0  0 2025-12-29 18:30:12
 0  0      0 120971408   4188 1148384    0    0     0     0  696  560  0  0 100  0  0 2025-12-29 18:30:13
 0  0      0 120971520   4188 1148384    0    0     0     0  769  637  0  0 100  0  0 2025-12-29 18:30:14
 0  0      0 121049056   4188 1148384    0    0     0     0  851  636  0  0 100  0  0 2025-12-29 18:30:15
 0  1      0 121049184   4188 1148392    0    0     0 57592  791  647  0  0 99  1  0 2025-12-29 18:30:16
 0  0      0 121049040   4188 1148392    0    0     0 228408 1614 1223  0  1 99  0  0 2025-12-29 18:30:17
 0  0      0 121049088   4188 1148416    0    0     0     0  736  568  0  0 100  0  0 2025-12-29 18:30:18
 0  0      0 121048608   4188 1148424    0    0     0     0  942  620  0  0 100  0  0 2025-12-29 18:30:19
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 121048384   4188 1148424    0    0     0     0 1151  656  0  0 100  0  0 2025-12-29 18:30:20
 0  0      0 121048448   4188 1148432    0    0     0     0 1067 1051  0  0 100  0  0 2025-12-29 18:30:21
 0  0      0 121048768   4188 1148440    0    0     0   752 1679 1321  0  0 100  0  0 2025-12-29 18:30:22
 0  0      0 121048256   4188 1148460    0    0    16     0 1011  760  0  0 100  0  0 2025-12-29 18:30:23
 0  0      0 121048424   4188 1148460    0    0     0     0  845  603  0  0 100  0  0 2025-12-29 18:30:24
 0  0      0 121048768   4188 1148464    0    0     0     0  834  588  0  0 100  0  0 2025-12-29 18:30:25
 0  0      0 120927120   4188 1148468    0    0     0     0 2634 2941  4  1 95  0  0 2025-12-29 18:30:26
 0  0      0 120926768   4188 1148468    0    0     0     0 1646 1094  0  0 99  0  0 2025-12-29 18:30:27
 0  0      0 120926384   4188 1148476    0    0     0   149 1387  868  0  0 100  0  0 2025-12-29 18:30:28
 0  0      0 120925904   4188 1148476    0    0     0     0 1064  756  0  0 100  0  0 2025-12-29 18:30:29
 0  0      0 120926112   4188 1148480    0    0     0     0  814  665  0  0 100  0  0 2025-12-29 18:30:30
 0  0      0 120924448   4188 1148548    0    0   148     0 7712 15002  2  1 98  0  0 2025-12-29 18:30:31
 0  0      0 120924416   4188 1148592    0    0     0    24 1893 1278  0  0 99  0  0 2025-12-29 18:30:32
 0  0      0 120923672   4188 1148596    0    0     0     0 1127  774  0  0 100  0  0 2025-12-29 18:30:33
 0  0      0 120923984   4188 1148596    0    0     0     0 1066  708  0  0 100  0  0 2025-12-29 18:30:34
 0  0      0 120923680   4188 1148600    0    0     0     0  999  671  0  0 100  0  0 2025-12-29 18:30:35
 0  0      0 120918080   4188 1148608    0    0     0     0 1320 1062  1  0 99  0  0 2025-12-29 18:30:36
 0  0      0 120917952   4188 1148612    0    0     0     0 2002 1358  0  0 99  0  0 2025-12-29 18:30:37
 0  0      0 120917552   4188 1148616    0    0     0     0 1203  739  0  0 100  0  0 2025-12-29 18:30:38
 0  0      0 120917648   4188 1148620    0    0     0     0  753  597  0  0 100  0  0 2025-12-29 18:30:39
 0  0      0 120915760   4188 1148620    0    0     0     0 1506 1230  1  0 99  0  0 2025-12-29 18:30:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 120915072   4188 1148624    0    0     0     0  953  703  0  0 100  0  0 2025-12-29 18:30:41
 0  0      0 120956560   4188 1148640    0    0     0     0 2600 1898  1  0 98  0  0 2025-12-29 18:30:42
 0  0      0 120952208   4188 1148640    0    0     0  1612 1293 1159  1  0 99  0  0 2025-12-29 18:30:43
 0  0      0 120961344   4188 1148672    0    0     0     0 2695 3818  4  0 95  0  0 2025-12-29 18:30:44
 0  0      0 120960960   4188 1148680    0    0     0     0 1084  751  0  0 100  0  0 2025-12-29 18:30:45
 0  0      0 120961488   4188 1148680    0    0     0     0  817  651  0  0 100  0  0 2025-12-29 18:30:46
 0  0      0 120960152   4188 1148688    0    0     0     0 1635 1253  0  0 99  0  0 2025-12-29 18:30:47
 0  0      0 120959760   4188 1148712    0    0    24   120 2186 1799  1  0 99  0  0 2025-12-29 18:30:48
 2  0      0 120959256   4188 1148720    0    0     0     0 1022  722  0  0 100  0  0 2025-12-29 18:30:49
 1  0      0 120958320   4188 1148720    0    0     0    17 1135  877  0  0 99  0  0 2025-12-29 18:30:50
 0  0      0 120957616   4188 1148744    0    0     0     0  805  647  0  0 100  0  0 2025-12-29 18:30:51
 0  0      0 120954176   4188 1148744    0    0     0     0 1782 1265  1  0 98  0  0 2025-12-29 18:30:52
 0  0      0 120955032   4188 1148700    0    0     0    72  851  640  0  0 100  0  0 2025-12-29 18:30:53
 0  0      0 120951368   4188 1148728    0    0     0     0 2316 1460  1  1 99  0  0 2025-12-29 18:30:54
 1  0      0 120951056   4188 1148736    0    0     0     0  871  787  0  0 100  0  0 2025-12-29 18:30:55
 0  0      0 120951568   4188 1148744    0    0     8     0 1007  757  0  0 100  0  0 2025-12-29 18:30:56
 0  0      0 120950992   4188 1148752    0    0     0     0 1685 1257  0  0 99  0  0 2025-12-29 18:30:57
 1  0      0 120898736   4188 1149816    0    0   176  1792 10984 10834  4  3 93  0  0 2025-12-29 18:30:58
 0  0      0 120896400   4188 1149624    0    0     0     0 2187 1744  1  0 99  0  0 2025-12-29 18:30:59
 0  0      0 120959296   4188 1149632    0    0     0     0 4281 4108  4  1 95  0  0 2025-12-29 18:31:00
 3  0      0 120864480   4188 1149636    0    0     0     0 3810 5124  8  2 90  0  0 2025-12-29 18:31:01
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 120835784   4188 1149692    0    0    20     0 4930 4401  8  2 90  0  0 2025-12-29 18:31:02
 0  0      0 120835088   4188 1149696    0    0     0     0 1389  930  1  0 99  0  0 2025-12-29 18:31:03
 1  0      0 120793696   4188 1153952    0    0  1948  2769 3552 2685  3  1 96  1  0 2025-12-29 18:31:04
 0  0      0 120951960   4188 1153760    0    0   316   397 1837 1220  2  1 97  0  0 2025-12-29 18:31:05
 0  0      0 120950160   4188 1153952    0    0     0     0 1348 1262  1  0 99  0  0 2025-12-29 18:31:06
 0  0      0 120938672   4188 1153960    0    0     0     0 4341 3842  1  1 98  0  0 2025-12-29 18:31:07
 0  0      0 120944184   4188 1154060    0    0     0     0 1967 1346  0  1 99  0  0 2025-12-29 18:31:08
 0  0      0 120945856   4188 1154064    0    0     0     0 1553 1133  0  0 99  0  0 2025-12-29 18:31:09
 0  0      0 120945888   4188 1154064    0    0     0     0 1172 1019  0  0 100  0  0 2025-12-29 18:31:10
 0  0      0 120934800   4188 1154072    0    0     0     0 1763 1307  2  0 98  0  0 2025-12-29 18:31:11
 0  0      0 120934416   4188 1154076    0    0     0     0 1048 1007  0  0 100  0  0 2025-12-29 18:31:12
 1  0      0 120931312   4188 1154100    0    0     0     0 2234 1728  1  1 99  0  0 2025-12-29 18:31:13
 0  0      0 120933072   4188 1154100    0    0     0  3380 1569 1138  0  0 99  0  0 2025-12-29 18:31:14
 0  0      0 120926248   4188 1154284    0    0   148    77 3173 4277  5  1 95  0  0 2025-12-29 18:31:15
 0  0      0 120926144   4188 1154288    0    0     0     0 1275  932  0  0 100  0  0 2025-12-29 18:31:16
 0  0      0 120925744   4188 1154288    0    0     0     0 1254 1043  0  0 100  0  0 2025-12-29 18:31:17
 0  0      0 120917120   4188 1154336    0    0     0     0 1959 1666  0  0 99  0  0 2025-12-29 18:31:18
 0  0      0 120916256   4188 1154548    0    0   116   411 12312 11661  4  2 94  0  0 2025-12-29 18:31:19
 0  0      0 120914800   4188 1154816    0    0     0     0 1807 1291  0  1 99  0  0 2025-12-29 18:31:20
 0  0      0 120916560   4188 1154816    0    0     0     0 1461 1151  0  0 100  0  0 2025-12-29 18:31:21
 1  0      0 120916408   4188 1155184    0    0   396     0 1647 1491  0  0 99  0  0 2025-12-29 18:31:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 120728288   4188 1339456    0    0 84324    44 16944 26996  7  4 89  0  0 2025-12-29 18:31:23
 1  0      0 120422784   4188 1646256    0    0 152832     0 24050 49321  6  5 88  0  0 2025-12-29 18:31:24
 1  0      0 120123464   4188 1943220    0    0 146176     0 25029 50357  7  5 88  0  0 2025-12-29 18:31:25
 2  0      0 119859024   4188 2209752    0    0 132352     0 21859 38616  6  6 88  0  0 2025-12-29 18:31:26
 1  0      0 119590672   4188 2478496    0    0 133632     0 20474 36299  6  6 88  0  0 2025-12-29 18:31:27
 1  0      0 119319536   4188 2749112    0    0 134144  4308 21384 38522  6  6 88  0  0 2025-12-29 18:31:28
 2  0      0 119008984   4188 3051896    0    0 150400     0 23284 44159  7  4 89  0  0 2025-12-29 18:31:29
 1  0      0 118694048   4188 3370880    0    0 159232 48252 24830 50284  7  5 88  1  0 2025-12-29 18:31:30
 1  0      0 118413472   4188 3646236    0    0 136832     0 24193 45326  7  6 86  0  1 2025-12-29 18:31:31
 1  0      0 118159952   4188 3898912    0    0 125056     0 20532 36135  6  6 88  0  0 2025-12-29 18:31:32
 1  0      0 117890808   4188 4166604    0    0 133120     0 20835 37190  6  7 87  0  0 2025-12-29 18:31:33
 1  0      0 117629408   4188 4428296    0    0 129664     0 20451 36728  6  6 88  0  0 2025-12-29 18:31:34
 1  0      0 117553296   4188 4505348    0    0 38144 1638756 9606 13458  3  4 84  3  6 2025-12-29 18:31:35
 0  0      0 117552320   4188 4505352    0    0     0     0 1107  984  0  0 99  0  0 2025-12-29 18:31:36
 0  0      0 117551272   4188 4505376    0    0     0     0 1176 1013  0  0 99  0  0 2025-12-29 18:31:37
 0  0      0 117552472   4188 4505364    0    0     0     0  874  869  0  0 100  0  0 2025-12-29 18:31:38
 0  0      0 117552064   4188 4505372    0    0     0     0 1664 1538  1  0 99  0  0 2025-12-29 18:31:39
 0  0      0 117544928   4188 4505392    0    0     0     0 1533 1425  0  0 98  0  2 2025-12-29 18:31:40
 2  0      0 117551624   4188 4505428    0    0     0     0 1284  990  0  0 99  0  0 2025-12-29 18:31:41
 0  0      0 117550880   4188 4505428    0    0     0     0 1409 1087  0  0 99  0  0 2025-12-29 18:31:42
 0  0      0 117550064   4188 4505436    0    0     0     0 1351 1102  1  0 99  0  0 2025-12-29 18:31:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 117549840   4188 4505436    0    0     0     0 1174 1003  0  0 100  0  0 2025-12-29 18:31:44
 0  0      0 117548800   4188 4505440    0    0     0     0 1149  956  0  0 100  0  0 2025-12-29 18:31:45
 0  0      0 117548512   4188 4505448    0    0     0     0 1941 1714  0  0 99  0  0 2025-12-29 18:31:46
 0  0      0 117548864   4188 4505468    0    0     0     0 1244 1057  0  0 100  0  0 2025-12-29 18:31:47
 0  0      0 117542248   4188 4505488    0    0     0     0 1289 1020  1  0 99  0  0 2025-12-29 18:31:48
 0  0      0 117553120   4188 4505488    0    0     0     0 2882 3335  4  0 96  0  0 2025-12-29 18:31:49
 0  0      0 117553008   4188 4505508    0    0     0     0 1161  956  0  0 100  0  0 2025-12-29 18:31:50
 0  0      0 117545416   4188 4505508    0    0     0     0 1481 1451  0  0 99  0  0 2025-12-29 18:31:51
 0  0      0 117553264   4188 4505516    0    0     0     0 1234 1131  0  0 100  0  0 2025-12-29 18:31:52
 0  0      0 117553344   4188 4505520    0    0     0     0  982  982  0  0 100  0  0 2025-12-29 18:31:53
 1  0      0 117552656   4188 4505528    0    0     0     0 1278 1117  0  0 100  0  0 2025-12-29 18:31:54
 0  0      0 117552400   4188 4505552    0    0     0     0 1240 1039  0  0 99  0  0 2025-12-29 18:31:55
 0  0      0 117552848   4188 4505568    0    0     0     0  872  845  0  0 100  0  0 2025-12-29 18:31:56
 0  0      0 117553088   4188 4505588    0    0     0     0 1832 1698  0  0 99  0  0 2025-12-29 18:31:57
 0  0      0 117552960   4188 4505588    0    0     0   394  974  928  0  0 100  0  0 2025-12-29 18:31:58
 0  0      0 117552864   4188 4505592    0    0     0     0  965  910  0  0 100  0  0 2025-12-29 18:31:59
 0  0      0 117552944   4188 4505596    0    0     0     0 1010  896  0  0 100  0  0 2025-12-29 18:32:00
 0  0      0 117553016   4188 4505600    0    0     0   152 1316 1133  1  0 99  0  0 2025-12-29 18:32:01
 0  0      0 117544760   4188 4505600    0    0     0     0 1649 1484  0  0 99  0  0 2025-12-29 18:32:02
 0  0      0 117552688   4188 4505600    0    0     0     0 1029  896  0  0 100  0  0 2025-12-29 18:32:03
 0  0      0 117551088   4188 4505608    0    0     0     0  990  901  0  0 100  0  0 2025-12-29 18:32:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 117551168   4188 4505608    0    0     0     0  773  793  0  0 100  0  0 2025-12-29 18:32:05
 1  0      0 117551152   4188 4505612    0    0     0     8  782  789  0  0 100  0  0 2025-12-29 18:32:06
 0  0      0 117550768   4188 4505616    0    0     0     0 1095  963  0  0 100  0  0 2025-12-29 18:32:07
 0  0      0 117551136   4188 4505636    0    0     0     0 1663 1560  0  0 100  0  0 2025-12-29 18:32:08
 0  0      0 117550960   4188 4505636    0    0     0     0  760  813  0  0 100  0  0 2025-12-29 18:32:09
 0  0      0 117628968   4188 4505640    0    0     0     0  723  783  0  0 100  0  0 2025-12-29 18:32:10
 0  0      0 117629248   4188 4505640    0    0     0     0  684  717  0  0 100  0  0 2025-12-29 18:32:11
 0  0      0 117629496   4188 4505648    0    0     0     0 1029 1002  0  0 100  0  0 2025-12-29 18:32:12
 2  0      0 118931792   4188 3078784    0    0    40    56 7135 7093  5  3 92  0  0 2025-12-29 18:32:13
 1  0      0 119057072   4188 2962308    0    0    16     0 21204 38552  8  5 87  0  0 2025-12-29 18:32:14
 1  0      0 118895824   4188 3123844    0    0     0     0 23409 47608  6  5 89  0  0 2025-12-29 18:32:15
 2  0      0 118744728   4188 3274960    0    0     0     0 21158 41027  7  5 89  0  0 2025-12-29 18:32:16
 2  0      0 118595808   4188 3423444    0    0     0 104044 21702 41300  6  5 88  0  0 2025-12-29 18:32:17
 1  0      0 118448208   4188 3570952    0    0     0     0 21122 39514  7  5 88  0  0 2025-12-29 18:32:18
 3  0      0 118298240   4188 3720584    0    0     0     0 23311 47913  7  4 89  0  0 2025-12-29 18:32:19
 1  0      0 118147440   4188 3871920    0    0     0     0 22150 42413  6  5 88  0  0 2025-12-29 18:32:20
 1  0      0 117981584   4188 4038100    0    0     0     0 21192 52815  7  4 89  0  1 2025-12-29 18:32:21
 2  0      0 117879648   4188 4139788    0    0     0 1205788 16343 33495  5  5 81  2  7 2025-12-29 18:32:22
 1  0      0 117720872   4188 4298976    0    0     0     0 21514 44140  7  4 89  0  1 2025-12-29 18:32:23
 2  0      0 117551312   4188 4455016    0    0   104     0 22291 41196  7  5 89  0  0 2025-12-29 18:32:24
 1  0      0 117276768   4188 4737400    0    0 115584     0 23905 48091  6  4 89  1  0 2025-12-29 18:32:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 116983216   4188 5030868    0    0 146432     0 22267 40867  6  6 88  0  0 2025-12-29 18:32:26
 0  1      0 116741040   4188 5273552    0    0 121088     0 20842 39564  5  6 87  0  2 2025-12-29 18:32:27
 1  0      0 116460448   4188 5552692    0    0 138752   219 25337 49400  6  6 88  0  0 2025-12-29 18:32:28
 1  0      0 116180704   4188 5864480    0    0 155520   115 24679 47538  7  5 87  0  0 2025-12-29 18:32:29
 2  0      0 115879088   4188 6167552    0    0 149120     0 23520 46683  8  5 87  0  0 2025-12-29 18:32:30
 1  0      0 115592320   4188 6450316    0    0 140672     0 21335 39572  7  5 88  0  0 2025-12-29 18:32:31
 1  0      0 115332032   4188 6711280    0    0 129408     0 20687 36069  6  6 88  0  0 2025-12-29 18:32:32
 1  0      0 115072336   4188 6972180    0    0 129664     0 20685 36632  6  6 88  0  0 2025-12-29 18:32:33
 1  0      0 114805024   4188 7238000    0    0 131840     0 21054 37047  6  6 88  0  0 2025-12-29 18:32:34
 1  0      0 114522936   4188 7513252    0    0 136960     0 22834 40382  6  6 87  0  0 2025-12-29 18:32:35
 1  0      0 114226720   4188 7817048    0    0 151552     0 23794 45573  6  5 88  0  0 2025-12-29 18:32:36
 2  0      0 113935424   4188 8109104    0    0 144896     0 25476 50049  7  5 88  0  0 2025-12-29 18:32:37
 1  0      0 113633264   4188 8411424    0    0 150400     0 26401 51904  6  5 88  0  0 2025-12-29 18:32:38
 2  0      0 113336184   4188 8707588    0    0 147328     0 25669 49663  6  5 88  0  0 2025-12-29 18:32:39
 2  0      0 113034216   4188 9009640    0    0 150016     0 25089 48286  6  6 88  0  0 2025-12-29 18:32:40
 1  0      0 112726656   4188 9316828    0    0 153088     0 27617 53082  6  6 88  0  0 2025-12-29 18:32:41
 1  0      0 112417936   4188 9625584    0    0 153856     0 27118 52677  6  6 88  0  0 2025-12-29 18:32:42
 1  0      0 112111264   4188 9931864    0    0 152960     0 27456 54298  6  5 88  0  0 2025-12-29 18:32:43
 1  0      0 111803696   4188 10239716    0    0 153472     0 26516 51942  6  5 88  0  0 2025-12-29 18:32:44
 1  0      0 111497280   4188 10545896    0    0 152832     0 27633 56089  6  6 88  0  0 2025-12-29 18:32:45
 3  0      0 111171536   4188 10864372    0    0 158976     0 26117 54257  6  5 88  0  0 2025-12-29 18:32:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 110868064   4188 11175020    0    0 154752     0 27612 55637  6  6 88  0  0 2025-12-29 18:32:47
 1  0      0 110540928   4188 11501972    0    0 163200   152 26775 57688  6  5 88  0  0 2025-12-29 18:32:48
 1  0      0 110213176   4188 11829656    0    0 163584     0 27292 58569  6  5 88  0  0 2025-12-29 18:32:49
 3  0      0 109892224   4188 12151028    0    0 160256     0 25169 51133  6  5 88  0  0 2025-12-29 18:32:50
 2  0      0 109588624   4188 12454408    0    0 151552     0 26417 51544  6  6 88  0  0 2025-12-29 18:32:51
 2  0      0 109280544   4188 12754304    0    0 149376     0 25877 48811  6  6 88  0  0 2025-12-29 18:32:52
